source,target,weight
1,2,6.688292144600876e-5
1,3,3.344146072300438e-5
1,4,1.337658428920175e-4
1,5,1.337658428920175e-4
1,6,3.344146072300438e-5
1,7,3.344146072300438e-5
1,8,6.688292144600876e-5
1,9,3.344146072300438e-5
1,10,3.344146072300438e-5
1,11,6.688292144600876e-5
1,12,3.344146072300438e-5
1,13,3.344146072300438e-5
1,14,6.688292144600876e-5
1,15,6.688292144600876e-5
1,16,6.688292144600876e-5
1,17,0.011035682038591446
1,18,3.344146072300438e-5
2,1,6.688292144600876e-5
2,3,6.688292144600876e-5
2,4,1.337658428920175e-4
2,5,1.337658428920175e-4
2,6,6.688292144600876e-5
2,7,6.688292144600876e-5
2,8,6.688292144600876e-5
2,9,6.688292144600876e-5
2,10,6.688292144600876e-5
2,11,6.688292144600876e-5
2,12,6.688292144600876e-5
2,13,6.688292144600876e-5
2,14,6.688292144600876e-5
2,15,6.688292144600876e-5
2,16,6.688292144600876e-5
2,17,0.011035682038591446
2,18,6.688292144600876e-5
3,1,3.344146072300438e-5
3,2,6.688292144600876e-5
3,4,1.337658428920175e-4
3,5,1.337658428920175e-4
3,6,3.344146072300438e-5
3,7,3.344146072300438e-5
3,8,6.688292144600876e-5
3,9,3.344146072300438e-5
3,10,3.344146072300438e-5
3,11,6.688292144600876e-5
3,12,3.344146072300438e-5
3,13,3.344146072300438e-5
3,14,6.688292144600876e-5
3,15,6.688292144600876e-5
3,16,6.688292144600876e-5
3,17,0.011035682038591446
3,18,3.344146072300438e-5
4,1,1.337658428920175e-4
4,2,1.337658428920175e-4
4,3,1.337658428920175e-4
4,5,3.344146072300438e-5
4,6,1.337658428920175e-4
4,7,1.337658428920175e-4
4,8,1.337658428920175e-4
4,9,1.337658428920175e-4
4,10,1.337658428920175e-4
4,11,1.337658428920175e-4
4,12,1.337658428920175e-4
4,13,1.337658428920175e-4
4,14,1.337658428920175e-4
4,15,1.337658428920175e-4
4,16,1.337658428920175e-4
4,17,0.011035682038591446
4,18,1.337658428920175e-4
5,1,1.337658428920175e-4
5,2,1.337658428920175e-4
5,3,1.337658428920175e-4
5,4,3.344146072300438e-5
5,6,1.337658428920175e-4
5,7,1.337658428920175e-4
5,8,1.337658428920175e-4
5,9,1.337658428920175e-4
5,10,1.337658428920175e-4
5,11,1.337658428920175e-4
5,12,1.337658428920175e-4
5,13,1.337658428920175e-4
5,14,1.337658428920175e-4
5,15,1.337658428920175e-4
5,16,1.337658428920175e-4
5,17,0.011035682038591446
5,18,1.337658428920175e-4
6,1,3.344146072300438e-5
6,2,6.688292144600876e-5
6,3,3.344146072300438e-5
6,4,1.337658428920175e-4
6,5,1.337658428920175e-4
6,7,3.344146072300438e-5
6,8,6.688292144600876e-5
6,9,3.344146072300438e-5
6,10,3.344146072300438e-5
6,11,6.688292144600876e-5
6,12,3.344146072300438e-5
6,13,3.344146072300438e-5
6,14,6.688292144600876e-5
6,15,6.688292144600876e-5
6,16,6.688292144600876e-5
6,17,0.011035682038591446
6,18,3.344146072300438e-5
7,1,3.344146072300438e-5
7,2,6.688292144600876e-5
7,3,3.344146072300438e-5
7,4,1.337658428920175e-4
7,5,1.337658428920175e-4
7,6,3.344146072300438e-5
7,8,6.688292144600876e-5
7,9,3.344146072300438e-5
7,10,3.344146072300438e-5
7,11,6.688292144600876e-5
7,12,3.344146072300438e-5
7,13,3.344146072300438e-5
7,14,6.688292144600876e-5
7,15,6.688292144600876e-5
7,16,6.688292144600876e-5
7,17,0.011035682038591446
7,18,3.344146072300438e-5
8,1,6.688292144600876e-5
8,2,6.688292144600876e-5
8,3,6.688292144600876e-5
8,4,1.337658428920175e-4
8,5,1.337658428920175e-4
8,6,6.688292144600876e-5
8,7,6.688292144600876e-5
8,9,6.688292144600876e-5
8,10,6.688292144600876e-5
8,11,6.688292144600876e-5
8,12,6.688292144600876e-5
8,13,6.688292144600876e-5
8,14,6.688292144600876e-5
8,15,6.688292144600876e-5
8,16,6.688292144600876e-5
8,17,0.011035682038591446
8,18,6.688292144600876e-5
9,1,3.344146072300438e-5
9,2,6.688292144600876e-5
9,3,3.344146072300438e-5
9,4,1.337658428920175e-4
9,5,1.337658428920175e-4
9,6,3.344146072300438e-5
9,7,3.344146072300438e-5
9,8,6.688292144600876e-5
9,10,3.344146072300438e-5
9,11,6.688292144600876e-5
9,12,3.344146072300438e-5
9,13,3.344146072300438e-5
9,14,6.688292144600876e-5
9,15,6.688292144600876e-5
9,16,6.688292144600876e-5
9,17,0.011035682038591446
9,18,3.344146072300438e-5
10,1,3.344146072300438e-5
10,2,6.688292144600876e-5
10,3,3.344146072300438e-5
10,4,1.337658428920175e-4
10,5,1.337658428920175e-4
10,6,3.344146072300438e-5
10,7,3.344146072300438e-5
10,8,6.688292144600876e-5
10,9,3.344146072300438e-5
10,11,6.688292144600876e-5
10,12,3.344146072300438e-5
10,13,3.344146072300438e-5
10,14,6.688292144600876e-5
10,15,6.688292144600876e-5
10,16,6.688292144600876e-5
10,17,0.011035682038591446
10,18,3.344146072300438e-5
11,1,6.688292144600876e-5
11,2,6.688292144600876e-5
11,3,6.688292144600876e-5
11,4,1.337658428920175e-4
11,5,1.337658428920175e-4
11,6,6.688292144600876e-5
11,7,6.688292144600876e-5
11,8,6.688292144600876e-5
